Narration,TransactionType
"ADVANCE INTEREST Contract nr.: 402 - 0857872 | Interest rate: 0.810000% | Capital: 1,000,000,000.00 | Period: 09.02.2018 - 23.02.2018 | Days: 14.00 / 360.00",LoanCost
ADVANCE OPENING Contract nr.: 402 - 0864872 | Interest rate: 0.810000% | Maturity: 09.03.2018,LoanCreate
FOREX SPOT USD/JPY 107.7540,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0854554 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 01.02.2018 - 22.02.2018 | Days: 21.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0854554,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0863453 | Interest rate: 0.810000% | Maturity: 15.03.2018,LoanCreate
FOREX SPOT USD/JPY 106.8560,SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0862594 | Interest rate: 0.810000% | Maturity: 12.03.2018,LoanCreate
"ADVANCE INTEREST Contract nr.: 402 - 0855240 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 05.02.2018 - 20.02.2018 | Days: 15.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0855240,LoanRepay
FOREX SPOT USD/JPY 106.5772,SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0859289 | Interest rate: 0.810000% | Maturity: 26.02.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0848228,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0848228 | Interest rate: 0.810000% | Capital: 1,000,000,000.00 | Period: 22.01.2018 - 13.02.2018 | Days: 22.00 / 360.00",LoanCost
FOREX SPOT USD/JPY 109.6020,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0847579 | Interest rate: 0.810000% | Capital: 1,000,000,000.00 | Period: 19.01.2018 - 09.02.2018 | Days: 21.00 / 360.00",LoanCost
FOREX SPOT USD/JPY 109.1229,SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0857872 | Interest rate: 0.810000% | Maturity: 23.02.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0847579,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0852568,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0855712 | Interest rate: 0.810000% | Maturity: 27.02.2018,LoanCreate
FOREX SPOT USD/JPY 109.6839,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0852568 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 29.01.2018 - 06.02.2018 | Days: 8.00 / 360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0852034 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 26.01.2018 - 05.02.2018 | Days: 10.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0852034,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0855240 | Interest rate: 0.810000% | Maturity: 20.02.2018,LoanCreate
FOREX SPOT USD/JPY 109.3082,SpotFxIn
ADVANCE REFUND Contract nr.: 402 - 0846267,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0846267 | Interest rate: 1.200000% | Capital: 502,529.11 | Period: 19.01.2018 - 16.02.2018 | Days: 28.00 / 365.00",LoanCost
ADVANCE OPENING Contract nr.: 402 - 0860093 | Interest rate: 1.190000% | Maturity: 16.03.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0842648,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0842638 | Interest rate: 1.190000% | Capital: 726,084.99 | Period: 10.01.2018 - 09.02.2018 | Days: 30.00 / 365.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0842638,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0842648 | Interest rate: 1.190000% | Capital: 339,402.83 | Period: 12.01.2018 - 09.02.2018 | Days: 28.00 / 365.00",LoanCost
ADVANCE OPENING Contract nr.: 402 - 0856245 | Interest rate: 1.200000% | Maturity: 09.03.2018,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0856247 | Interest rate: 1.200000% | Maturity: 09.03.2018,LoanCreate
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18329908 | UNITS POLAR CAPITAL FUNDS PLC | Quantity: 240,000.00",Distribution
FOREX SPOT USD/EUR 1.2306,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0862310 | Interest rate: 0.610000% | Capital: 965,468.08 | Period: 20.02.2018 - 27.02.2018 | Days: 7.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0862310,LoanRepay
"PURCHASE STRUCTURED PRODUCTS Security nr. 9874934 | 13.04% JB EUR DCI VS USD-1.235 | Interest rate: 13.040000% | Nominal amount: 3,647,735.64 | Maturity: 13.03.2018",Purchase
FOREX SPOT EUR/JPY 131.8423,SpotFxOut
"PURCHASE STRUCTURED PRODUCTS Security nr. 9874658 | 15.35% JB EUR DCI VS USD-1.23 | Interest rate: 15.350000% | Nominal amount: 7,335,796.47 | Maturity: 12.03.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9874657 | 13.61% JB EUR DCI VS USD-1.228 | Interest rate: 13.610000% | Nominal amount: 3,650,107.47 | Maturity: 19.03.2018",Purchase
ADVANCE OPENING Contract nr.: 402 - 0865679 | Interest rate: 0.610000% | Maturity: 27.03.2018,LoanCreate
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 14428520 | UNITS JPMORGAN FUNDS SICAV | Quantity: 13,000.00",Distribution
CAP/14.01% JB EUR DCI VS USD-1.23,Distribution
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9872331 | 14.01% JB EUR DCI VS USD-1.23 | Interest rate: 14.010000% | Nominal amount: 7,301,077.66 | Maturity: 26.02.2018",Sale
FOREX SPOT USD/EUR 1.2278,SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr. 9874268 | 10.46% JB EUR DCI VS USD-1.24 | Interest rate: 10.460000% | Nominal amount: 7,287,433.15 | Maturity: 09.03.2018",Purchase
"ADVANCE INTEREST Contract nr.: 402 - 0861564 | Interest rate: 0.610000% | Capital: 2,326,515.62 | Period: 16.02.2018 - 23.02.2018 | Days: 7.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0861564,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9871919 | 8.93% JB EUR DCI VS USD-1.245 | Interest rate: 8.930000% | Nominal amount: 7,214,413.77 | Maturity: 23.02.2018",Sale
CAP/8.93% JB EUR DCI VS USD-1.245,Distribution
FOREX SPOT USD/EUR 1.2328,SpotFxIn
FOREX SPOT EUR/JPY 132.7881,SpotFxOut
"PURCHASE STRUCTURED PRODUCTS Security nr. 9874269 | 9.84% JB EUR DCI VS USD-1.24 | Interest rate: 9.840000% | Nominal amount: 7,237,095.63 | Maturity: 16.03.2018",Purchase
CAP/6.22% JB EUR DCI VS USD-1.25,Distribution
FOREX SPOT USD/EUR 1.2379,SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr. 9873966 | 13.96% JB EUR DCI VS USD-1.2385 | Interest rate: 13.960000% | Nominal amount: 3,619,495.66 | Maturity: 15.03.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9873965 | 9.09% JB EUR DCI VS USD-1.2465 | Interest rate: 9.090000% | Nominal amount: 3,592,625.10 | Maturity: 08.03.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9873964 | 9.47% JB EUR DCI VS USD-1.246 | Interest rate: 9.470000% | Nominal amount: 1,630,724.58 | Maturity: 08.03.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9873963 | 9.93% JB EUR DCI VS USD-1.2455 | Interest rate: 9.930000% | Nominal amount: 2,887,347.48 | Maturity: 08.03.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9873962 | 10.84% JB EUR DCI VS USD-1.245 | Interest rate: 10.840000% | Nominal amount: 3,594,962.46 | Maturity: 08.03.2018",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9871361 | 6.22% JB EUR DCI VS USD-1.25 | Interest rate: 6.220000% | Nominal amount: 11,677,413.25 | Maturity: 22.02.2018",Sale
ADVANCE OPENING Contract nr.: 402 - 0862721 | Interest rate: 0.610000% | Maturity: 23.03.2018,LoanCreate
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 4273607 | UNIT FRANKLIN TEMPLETON INV FD SICA | Quantity: 230,000.00",Distribution
ADVANCE OPENING Contract nr.: 402 - 0862310 | Interest rate: 0.610000% | Maturity: 27.02.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0849722,LoanRepay
"PURCHASE STRUCTURED PRODUCTS Security nr. 9873487 | 12.37% JB EUR DCI VS USD-1.25 | Interest rate: 12.370000% | Nominal amount: 3,577,901.03 | Maturity: 12.03.2018",Purchase
FOREX SPOT USD/EUR 1.2471,SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0849722 | Interest rate: 0.610000% | Capital: 965,124.66 | Period: 30.01.2018 - 20.02.2018 | Days: 21.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0846850,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0845481,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0861564 | Interest rate: 0.610000% | Maturity: 23.02.2018,LoanCreate
"ADVANCE INTEREST Contract nr.: 402 - 0846870 | Interest rate: 0.610000% | Capital: 585,979.73 | Period: 19.01.2018 - 16.02.2018 | Days: 28.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0846870,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0846850 | Interest rate: 0.610000% | Capital: 2,325,412.34 | Period: 19.01.2018 - 16.02.2018 | Days: 28.00 / 360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0845481 | Interest rate: 0.610000% | Capital: 1,526,561.24 | Period: 19.01.2018 - 16.02.2018 | Days: 28.00 / 360.00",LoanCost
ADVANCE OPENING Contract nr.: 402 - 0860086 | Interest rate: 0.610000% | Maturity: 16.03.2018,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0860143 | Interest rate: 0.610000% | Maturity: 16.03.2018,LoanCreate
FOREX OUTRIGHT USD/EUR 1.2283,SpotFxIn
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 26013077 | UNITS BLACKROCK GLOBAL FUNDS SICAV | Quantity: 165,000.00",Distribution
"REVERSAL PURCHASE STRUCTURED PRODUCTS Security nr. 9872321 | 8.95% JB EUR DCI VS USD-1.235 | Interest rate: 8.950000% | Nominal amount: 7,301,077.66 | Maturity: 26.02.2018",Sale
"PURCHASE STRUCTURED PRODUCTS Security nr. 9872331 | 14.01% JB EUR DCI VS USD-1.23 | Interest rate: 14.010000% | Nominal amount: 7,301,077.66 | Maturity: 26.02.2018",Purchase
FOREX SPOT USD/EUR 1.2283,SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr. 9872321 | 8.95% JB EUR DCI VS USD-1.235 | Interest rate: 8.950000% | Nominal amount: 7,301,077.66 | Maturity: 26.02.2018",Purchase
REVERSAL FOREX SPOT USD/EUR 1.2283,SpotFxOut
"PURCHASE STRUCTURED PRODUCTS Security nr. 9871919 | 8.93% JB EUR DCI VS USD-1.245 | Interest rate: 8.930000% | Nominal amount: 7,214,413.77 | Maturity: 23.02.2018",Purchase
FOREX SPOT USD/EUR 1.2390,SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr. 9871361 | 6.22% JB EUR DCI VS USD-1.25 | Interest rate: 6.220000% | Nominal amount: 3,586,287.62 | Maturity: 22.02.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9871361 | 6.22% JB EUR DCI VS USD-1.25 | Interest rate: 6.220000% | Nominal amount: 1,626,789.56 | Maturity: 22.02.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9871361 | 6.22% JB EUR DCI VS USD-1.25 | Interest rate: 6.220000% | Nominal amount: 3,583,955.91 | Maturity: 22.02.2018",Purchase
"PURCHASE STRUCTURED PRODUCTS Security nr. 9871361 | 6.22% JB EUR DCI VS USD-1.25 | Interest rate: 6.220000% | Nominal amount: 2,880,380.16 | Maturity: 22.02.2018",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9866243 | 6.67% JB JPY DCI VS USD-112 | Interest rate: 6.670000% | Nominal amount: 400,000,000.00 | Maturity: 02.02.2018",SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9866242 | 5.09% JB JPY DCI VS USD-111.7 | Interest rate: 5.090000% | Nominal amount: 1,000,000,000.00 | Maturity: 02.02.2018",SpotFxIn
CAP/5.09% JB JPY DCI VS USD-111.7,Distribution
CAP/6.67% JB JPY DCI VS USD-112,Distribution
DEPOSIT INTEREST Contract nr.: 400 - 0521889,Interest
DEPOSIT INTEREST Contract nr.: 400 - 0521894,Interest
DEPOSIT REFUND Contract nr.: 400 - 0521889,DepositRepay
DEPOSIT REFUND Contract nr.: 400 - 0521894,DepositRepay
FOREX SPOT USD/EUR 1.2440,SpotFxOut
FOREX SPOT USD/EUR 1.2440,SpotFxOut
FOREX SPOT USD/EUR 1.2447,SpotFxOut
FOREX SPOT USD/JPY 108.6459,SpotFxOut
FOREX SPOT USD/JPY 108.6922,SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9865901 | 4.29% JB JPY DCI VS USD-111.9 | Interest rate: 4.290000% | Nominal amount: 500,000,000.00 | Maturity: 01.02.2018",SpotFxIn
CAP/4.29% JB JPY DCI VS USD-111.9,Distribution
DEPOSIT OPENING Contract nr.: 400 - 0521894 | Interest rate: 1.260000% | Maturity: 02.02.2018,DepositCreate
DEPOSIT OPENING Contract nr.: 400 - 0521889 | Interest rate: 1.260000% | Maturity: 02.02.2018,DepositCreate
FOREX SPOT USD/EUR 1.2423,SpotFxOut
CAP/5% JB JPY DCI VS USD-111.93,Distribution
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9865070 | 5% JB JPY DCI VS USD-111.93 | Interest rate: 5.000000% | Nominal amount: 500,000,000.00 | Maturity: 29.01.2018",SpotFxIn
"PURCHASE STRUCTURED PRODUCTS Security nr. 9869322 | 5.31% JB USD DCI VS JPY-110.2 | Interest rate: 5.310000% | Nominal amount: 4,451,589.00 | Maturity: 05.02.2018",Purchase
FOREX SPOT USD/JPY 108.7839,SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9863923 | 5.96% JB JPY DCI VS USD-112.75 | Interest rate: 5.960000% | Nominal amount: 500,000,000.00 | Maturity: 26.01.2018",SpotFxIn
"COUPON PAYMENT STRUCTURED PRODUCTS Security nr. 9863922 | 7.46% JB USD DCI VS JPY-113.4 | Interest rate: 7.460000% | Nominal amount: 2,010,348.79 | Maturity: 26.01.2018",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864089 | 6.5% JB JPY DCI VS USD-112.85 | Interest rate: 6.500000% | Nominal amount: 500,000,000.00 | Maturity: 26.01.2018",SpotFxIn
FOREX SPOT USD/JPY 109.9141,SpotFxOut
CAP/6.5% JB JPY DCI VS USD-112.85,Distribution
CAP/5.96% JB JPY DCI VS USD-112.75,Distribution
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9863922 | 7.46% JB USD DCI VS JPY-113.4 | Interest rate: 7.460000% | Nominal amount: 2,010,348.79 | Maturity: 26.01.2018",Sale
CAP/7.46% JB USD DCI VS JPY-113.4,Distribution
CAP/4.63% JB JPY DCI VS USD-112,Distribution
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9863508 | 5.11% JB USD DCI VS JPY-112.95 | Interest rate: 5.110000% | Nominal amount: 4,435,278.41 | Maturity: 22.01.2018",Sale
FOREX SPOT USD/JPY 110.7621,SpotFxOut
ADVANCE OPENING Contract nr.: 402 - 0848230 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864991 | 4.63% JB JPY DCI VS USD-112 | Interest rate: 4.630000% | Nominal amount: 1,000,000,000.00 | Maturity: 22.01.2018",SpotFxIn
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 11928659 | UNIT INVESTEC GLB STRATEGY FD SICAV | Quantity: 34,000.00",Distribution
"COUPON PAYMENT STRUCTURED PRODUCTS Security nr. 9863508 | 5.11% JB USD DCI VS JPY-112.95 | Interest rate: 5.110000% | Nominal amount: 4,435,278.41 | Maturity: 22.01.2018",Distribution
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 14832683 | UNIT CULLEN FUNDS PLC/NORTH AMERICA | Quantity: 67,000.00",Distribution
CAP/5.11% JB USD DCI VS JPY-112.95,Distribution
"ADVANCE INTEREST Contract nr.: 402 - 0833271 | Interest rate: 2.300000% | Capital: 1,025,339.50 | Period: 22.12.2017 - 19.01.2018 | Days: 28.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0833259,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0833796,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0833288 | Interest rate: 2.300000% | Capital: 504,372.70 | Period: 22.12.2017 - 19.01.2018 | Days: 28.00 / 360.00",LoanCost
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864214 | 4.5% JB JPY DCI VS USD-112.3 | Interest rate: 4.500000% | Nominal amount: 1,000,000,000.00 | Maturity: 19.01.2018",SpotFxIn
"ADVANCE INTEREST Contract nr.: 402 - 0833268 | Interest rate: 2.300000% | Capital: 4,344,493.77 | Period: 22.12.2017 - 19.01.2018 | Days: 28.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0833245,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0833271,LoanRepay
"ADVANCE INTEREST Contract nr.: 402 - 0833796 | Interest rate: 2.300000% | Capital: 1,747,062.22 | Period: 20.12.2017 - 19.01.2018 | Days: 30.00 / 360.00",LoanCost
CAP/4.5% JB JPY DCI VS USD-112.3,Distribution
"ADVANCE INTEREST Contract nr.: 402 - 0833245 | Interest rate: 2.300000% | Capital: 883,686.87 | Period: 22.12.2017 - 19.01.2018 | Days: 28.00 / 360.00",LoanCost
"ADVANCE INTEREST Contract nr.: 402 - 0833282 | Interest rate: 2.300000% | Capital: 868,650.68 | Period: 22.12.2017 - 19.01.2018 | Days: 28.00 / 360.00",LoanCost
FOREX SPOT USD/JPY 110.7621,SpotFxOut
ADVANCE OPENING Contract nr.: 402 - 0846852 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0833268,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0833282,LoanRepay
ADVANCE REFUND Contract nr.: 402 - 0833288,LoanRepay
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 1628315 | UNIT FRANKLIN TEMPLETON INV FD SICA | Quantity: 387,000.00",Distribution
"ADVANCE INTEREST Contract nr.: 402 - 0833259 | Interest rate: 2.300000% | Capital: 994,880.79 | Period: 22.12.2017 - 19.01.2018 | Days: 28.00 / 360.00",LoanCost
ADVANCE OPENING Contract nr.: 402 - 0846187 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0846269 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 21966706 | UNITES SCHRODER INTL SELECT FD SICAV | Quantity: 69,600.00",Distribution
ADVANCE OPENING Contract nr.: 402 - 0846273 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
"SUBSCRIPTION INVESTMENT FUND Security nr. 27738704 | UNIT UBS(LUX)EQ SICAV/EURO COUNTRIE | Quantity: 30,000.00",Purchase
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864088 | 6.5% JB JPY DCI VS USD-112.85 | Interest rate: 6.500000% | Nominal amount: 400,000,000.00 | Maturity: 16.01.2018",SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0845478 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
ADVANCE OPENING Contract nr.: 402 - 0845480 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
CAP/6.5% JB JPY DCI VS USD-112.85,Distribution
ADVANCE OPENING Contract nr.: 402 - 0845484 | Interest rate: 2.360000% | Maturity: 16.02.2018,LoanCreate
"PURCHASE STRUCTURED PRODUCTS Security nr. 9866527 | 7.52% JB USD DCI VS JPY-112.2 | Interest rate: 7.520000% | Nominal amount: 4,457,895.91 | Maturity: 05.02.2018",Purchase
CAP/3.66% JB JPY DCI VS USD-112.4,Distribution
MISCELLANEOUS EXPENSE,MiscExpense
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9863924 | 3.66% JB JPY DCI VS USD-112.4 | Interest rate: 3.660000% | Nominal amount: 500,000,000.00 | Maturity: 16.01.2018",SpotFxIn
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18762448 | UNITS BLACKROCK GLOBAL FUNDS SICAV | Quantity: 100,000.00",Distribution
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 19814968 | UNITS AB SICAV I SICAV | Quantity: 36,000.00",Distribution
"ADVANCE INTEREST Contract nr.: 402 - 0827906 | Interest rate: 2.180000% | Capital: 10,000,000.00 | Period: 11.12.2017 - 10.01.2018 | Days: 30.00 / 360.00",LoanCost
ADVANCE OPENING Contract nr.: 402 - 0842634 | Interest rate: 2.350000% | Maturity: 09.02.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0827906,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0842630 | Interest rate: 2.350000% | Maturity: 09.02.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0827904,LoanRepay
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18564323 | UNITS NOMURA FUNDS IRELAND PLC | Quantity: 25,800.00",Distribution
"ADVANCE INTEREST Contract nr.: 402 - 0827904 | Interest rate: 2.180000% | Capital: 1,051,820.43 | Period: 11.12.2017 - 10.01.2018 | Days: 30.00 / 360.00",LoanCost
"DIVIDEND PAYMENT INVESTMENT FUNDS Security nr. 18553502 | UNITS NEUBERGER BERMAN INVESTMENT F | Quantity: 96,000.00",Distribution
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9866242 | 5.09% JB JPY DCI VS USD-111.7 | Interest rate: 5.090000% | Nominal amount: 1,000,000,000.00 | Maturity: 02.02.2018",Sale
ADVANCE REFUND Contract nr.: 402 - 0844131,LoanRepay
ADVANCE OPENING Contract nr.: 402 - 0854565 | Interest rate: 0.810000% | Maturity: 23.02.2018,LoanCreate
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9866243 | 6.67% JB JPY DCI VS USD-112 | Interest rate: 6.670000% | Nominal amount: 400,000,000.00 | Maturity: 02.02.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9866242 | 5.09% JB JPY DCI VS USD-111.7 | Interest rate: 5.090000% | Nominal amount: 1,000,000,000.00 | Maturity: 02.02.2018",SpotFxOut
"ADVANCE INTEREST Contract nr.: 402 - 0844131 | Interest rate: 0.810000% | Capital: 1,000,000,000.00 | Period: 12.01.2018 - 02.02.2018 | Days: 21.00 / 360.00",LoanCost
FOREX SPOT USD/JPY 108.6459,SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0854554 | Interest rate: 0.810000% | Maturity: 22.02.2018,LoanCreate
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9866243 | 6.67% JB JPY DCI VS USD-112 | Interest rate: 6.670000% | Nominal amount: 400,000,000.00 | Maturity: 02.02.2018",Sale
"ADVANCE INTEREST Contract nr.: 402 - 0843229 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 11.01.2018 - 01.02.2018 | Days: 21.00 / 360.00",LoanCost
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9865901 | 4.29% JB JPY DCI VS USD-111.9 | Interest rate: 4.290000% | Nominal amount: 500,000,000.00 | Maturity: 01.02.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9865901 | 4.29% JB JPY DCI VS USD-111.9 | Interest rate: 4.290000% | Nominal amount: 500,000,000.00 | Maturity: 01.02.2018",SpotFxOut
ADVANCE REFUND Contract nr.: 402 - 0843229,LoanRepay
FOREX SPOT USD/JPY 108.6922,SpotFxIn
ADVANCE OPENING Contract nr.: 402 - 0852568 | Interest rate: 0.810000% | Maturity: 06.02.2018,LoanCreate
"ADVANCE INTEREST Contract nr.: 402 - 0842003 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 09.01.2018 - 29.01.2018 | Days: 20.00 / 360.00",LoanCost
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9865070 | 5% JB JPY DCI VS USD-111.93 | Interest rate: 5.000000% | Nominal amount: 500,000,000.00 | Maturity: 29.01.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9865070 | 5% JB JPY DCI VS USD-111.93 | Interest rate: 5.000000% | Nominal amount: 500,000,000.00 | Maturity: 29.01.2018",Sale
ADVANCE OPENING Contract nr.: 402 - 0852034 | Interest rate: 0.810000% | Maturity: 05.02.2018,LoanCreate
ADVANCE REFUND Contract nr.: 402 - 0842003,LoanRepay
FOREX SPOT USD/JPY 108.7839,SpotFxIn
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864089 | 6.5% JB JPY DCI VS USD-112.85 | Interest rate: 6.500000% | Nominal amount: 500,000,000.00 | Maturity: 26.01.2018",SpotFxOut
"ADVANCE INTEREST Contract nr.: 402 - 0836597 | Interest rate: 0.810000% | Capital: 500,000,000.00 | Period: 27.12.2017 - 26.01.2018 | Days: 30.00 / 360.00",LoanCost
ADVANCE REFUND Contract nr.: 402 - 0836597,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9863923 | 5.96% JB JPY DCI VS USD-112.75 | Interest rate: 5.960000% | Nominal amount: 500,000,000.00 | Maturity: 26.01.2018",SpotFxOut
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9863923 | 5.96% JB JPY DCI VS USD-112.75 | Interest rate: 5.960000% | Nominal amount: 500,000,000.00 | Maturity: 26.01.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864089 | 6.5% JB JPY DCI VS USD-112.85 | Interest rate: 6.500000% | Nominal amount: 500,000,000.00 | Maturity: 26.01.2018",Sale
FOREX SPOT USD/JPY 109.9141,SpotFxIn
FOREX SPOT USD/JPY 111.1221,SpotFxIn
ADVANCE REFUND Contract nr.: 402 - 0841562,LoanRepay
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864991 | 4.63% JB JPY DCI VS USD-112 | Interest rate: 4.630000% | Nominal amount: 1,000,000,000.00 | Maturity: 22.01.2018",Sale
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864991 | 4.63% JB JPY DCI VS USD-112 | Interest rate: 4.630000% | Nominal amount: 1,000,000,000.00 | Maturity: 22.01.2018",SpotFxOut
ADVANCE OPENING Contract nr.: 402 - 0848228 | Interest rate: 0.810000% | Maturity: 31.02.2018,LoanCreate
"ADVANCE INTEREST Contract nr.: 402 - 0841562 | Interest rate: 0.810000% | Capital: 1,000,000,000.00 | Period: 09.01.2018 - 22.01.2018 | Days: 13.00 / 360.00",LoanCost
"REDEMPTION STRUCTURED PRODUCTS Security nr. 9864214 | 4.5% JB JPY DCI VS USD-112.3 | Interest rate: 4.500000% | Nominal amount: 1,000,000,000.00 | Maturity: 19.01.2018",SpotFxOut
