Mk 4.45% (Call: 23.05.2020),,,,,,,,,,,,,,,
AN7077414 Nanyang Commercial Bank Ltd,,"200,000.00",5.00,02-Jun-2049,5.05 %,USD99.80,"199,600.00 199,657.32",,57.32,5.27 %,USD95.85,"191,700.00","(7,957.32)","4,138.89 Ba2",MOODY
5% (Call: 02.06.2022),,,,,,,,,,,,,,,
EJ3968215 LS Finance Ltd 4.25%,,"200,000.00",4.25,16-Oct-2022,5.00 %,USD97.00,"194,000.00 194,080.99",,80.99,5.32 %,USD95.80,"191,600.00","(2,480.99)",354.17 Ba2,MOODY
"(16.10.2022)",,,,,,,,,,,,,,,
Report Source : Reporting Services,,,,,,,Page 14,,,,,,,Print Time: 05/05/2018 2:30:31 PM,
Stock Security Description,,Nominal,Coupon,Maturity Date,Pur.,Avg. Cost,Cost,Book,Cumm.,YTM,Market,Market,Unrealised,Accrued,Bond,Rating
Code,,,,,Yield,,,Value,Accr  Amort,,Price,Value,Gain/,Interest,Rating,Agency
"",,,,,,,,,,,,,(Loss),,,
EJ4121962 Wing Lung Bank Ltd 4.793%,,"1,250,000.00",3.50,07-Nov-2022,2.65 %,USD100.20,"1,252,525.00","1,250,168.26","(2,356.74)",2.94 %,USD100.01,"1,250,125.00",(43.26),"21,145.83",Baa2,MOODY
"(Call: 07.05.2018)",,,,,,,,,,,,,,,,
EJ6043818 SmarTone Finance Ltd 3.875%,,"600,000.00",3.88,08-Apr-2023,3.80 %,USD100.39,"602,364.00","602,135.38",(228.62),4.25 %,USD98.36,"590,160.00","(11,975.38)","1,485.42",,
"(08.04.2023)",,,,,,,,,,,,,,,,
EK9908196 LS Finance Ltd 4.5%,,"700,000.00",4.50,26-Jun-2025,4.72 %,USD98.59,"690,125.00","690,871.36",746.36,6.01 %,USD91.30,"639,100.00","(51,771.36)","10,937.50",Ba2,MOODY
"(26.06.2025)",,,,,,,,,,,,,,,,
QZ6974914 NWD Finance BVI Ltd 5.75%,,"300,000.00",5.75,05-Oct-2049,5.75 %,USD99.99,"299,970.00","299,984.18",14.18,6.40 %,USD91.24,"273,720.00","(26,264.18)","1,245.83",,
"(Call: 05.10.2021)",,,,,,,,,,,,,,,,
TOTAL HONG KONG,,"4,250,000.00",,,,,"4,250,108.00","4,246,520.26","(3,587.74)",,,"4,085,200.00","(161,320.26)","57,968.33",,
INDONESIA,,,,,,,,,,,,,,,,
AM4374824 Pakuwon Prima Pte Ltd 5%,,"200,000.00",5.00,14-Feb-2024,6.11 %,USD98.13,"196,250.00","198,579.63","2,329.63",6.26 %,USD93.93,"187,860.00","(10,719.63)","2,138.89",Ba2,MOODY
"(Call: 14.02.2021)",,,,,,,,,,,,,,,,
AN2611142 Saka Energi Indonesia PT,,"650,000.00",4.45,05-May-2024,4.50 %,USD99.78,"648,552.50","648,301.54",(250.96),5.05 %,USD96.93,"630,045.00","(18,256.54)","14,141.11",Ba1,MOODY
4.45% (05.05.2024),,,,,,,,,,,,,,,,
AO0070349 Ciputra Development Tbk PT,,"750,000.00",4.85,20-Sep-2021,4.85 %,SGD100.00,"557,549.25","557,549.25",0.00,4.92 %,SGD99.76,"564,507.55","6,958.30","3,158.00",BB-,FITCH
4.85% (20.09.2021),,,,,,,,,,,,,,,,
AO6253790 Minejesa Capital BV 4.625%,,"200,000.00",4.63,10-Aug-2030,4.63 %,USD100.00,"200,000.00","200,000.00",0.00,5.18 %,USD94.97,"189,940.00","(10,060.00)","2,081.25",Baa3,MOODY
"(10.08.2030)",,,,,,,,,,,,,,,,
TOTAL INDONESIA,,"1,800,000.00",,,,,"1,602,351.75","1,604,430.42","2,078.67",,,"1,572,352.55","(32,077.87)","21,519.25",,
MALAYSIA,,,,,,,,,,,,,,,,
AP7037652 Press Metal Labuan Ltd 4.8%,,"200,000.00",4.80,30-Oct-2022,5.99 %,USD99.15,"198,300.00","198,715.54",415.54,5.82 %,USD96.00,"192,000.00","(6,715.54)",26.67,Ba3,MOODY
"(Call: 30.10.2020)",,,,,,,,,,,,,,,,
UV9163949 Yinson TMC Sdn Bhd 7.00%,,"1,000,000.00",7.00,25-Sep-2049,6.99 %,USD100.05,"1,000,500.00","1,000,516.09",16.09,7.00 %,USD100.00,"1,000,000.00",(516.09),"7,000.00",,
"(Call: 25.09.2020)",,,,,,,,,,,,,,,,
TOTAL MALAYSIA,,"1,200,000.00",,,,,"1,198,800.00","1,199,231.63",431.63,,,"1,192,000.00","(7,231.63)","7,026.67",,
PHILIPPINES,,,,,,,,,,,,,,,,
AQ6873634 Petron Corp 4.6% (Call:,,"500,000.00",4.60,19-Jul-2049,4.60 %,USD100.00,"500,000.00","500,000.00",0.00,4.91 %,USD95.14,"475,700.00","(24,300.00)","6,516.67",,
19.07.2023),,,,,,,,,,,,,,,,
TOTAL PHILIPPINES,,"500,000.00",,,,,"500,000.00","500,000.00",0.00,,,"475,700.00","(24,300.00)","6,516.67",,
QATAR,,,,,,,,,,,,,,,,
QJ2237015 QIB Sukuk Ltd 2.754%,,"400,000.00",2.75,27-Oct-2020,3.43 %,USD98.07,"392,266.67","393,638.13","1,371.46",3.91 %,USD97.28,"389,119.99","(4,518.14)",122.40,A+,S&P
"(27.10.2020)",,,,,,,,,,,,,,,,
TOTAL QATAR,,"400,000.00",,,,,"392,266.67","393,638.13","1,371.46",,,"389,119.99","(4,518.14)",122.40,,
SINGAPORE,,,,,,,,,,,,,,,,
AM1710293 Yanlord Land HK Co Ltd,,"500,000.00",5.88,23-Jan-2022,5.81 %,USD100.28,"501,375.00","501,009.38",(365.62),6.07 %,USD99.35,"496,750.00","(4,259.38)","7,996.53",Ba3,MOODY
5.875% (Call: 23.1.2020),,,,,,,,,,,,,,,,
Stock Security Description,,Nominal,Coupon,Maturity Date,Pur.,Avg. Cost,Cost,Book,Cumm.,YTM,Market,Market,Unrealised,Accrued,Bond,Rating
Code,,,,,Yield,,,Value,Accr  Amort,,Price,Value,Gain/,Interest,Rating,Agency
"",,,,,,,,,,,,,(Loss),,,
AO3597850 Parkway Pantai Ltd 4.25%,,"400,000.00",4.25,27-Jul-2049,4.25 %,USD100.00,"400,000.00","400,000.00",0.00,4.45 %,USD96.61,"386,440.00","(13,560.00)","4,438.89",,
"(Call: 27.07.2022)",,,,,,,,,,,,,,,,
AP5359645 United Overseas Bank Ltd,,"600,000.00",3.88,19-Oct-2049,4.43 %,USD97.32,"583,900.00","584,133.82",233.82,4.18 %,USD94.65,"567,900.00","(16,233.82)",774.99,Baa1,MOODY
3.875% (Call: 19.10.2023),,,,,,,,,,,,,,,,
AP5359785 CITIC Envirotech Ltd 3.9%,,"250,000.00",3.90,19-Oct-2049,3.83 %,SGD100.20,"184,747.76","184,683.11",(64.65),4.00 %,SGD98.28,"185,377.58",694.47,241.85,,
"(Call: 19.10.2020)",,,,,,,,,,,,,,,,
AQ7825500 GLL IHT Pte Ltd 4.6% (Call:,,"250,000.00",4.60,23-Jan-2049,4.66 %,SGD99.75,"188,455.93","188,466.53",10.60,4.69 %,SGD98.52,"185,830.27","(2,636.25)","2,361.97",,
23.01.2023),,,,,,,,,,,,,,,,
EH3700794 DBS Capital Funding II Corp,,"1,000,000.00",5.75,15-Jun-2049,2.40 %,SGD100.65,"766,954.01","765,066.37","(1,887.64)",1.70 %,SGD100.50,"758,259.94","(6,806.43)","16,389.14",Baa1,MOODY
5.75% (Call: 15.06.2018),,,,,,,,,,,,,,,,
TOTAL SINGAPORE,,"3,000,000.00",,,,,"2,625,432.70","2,623,359.21","(2,073.49)",,,"2,580,557.79","(42,801.41)","32,203.37",,
SOUTH KOREA,,,,,,,,,,,,,,,,
EK5237418 Korean Reinsurance Co 4.50%,,"500,000.00",4.50,21-Oct-2044,3.83 %,USD101.35,"506,750.00","504,754.05","(1,995.95)",4.30 %,USD100.28,"501,400.00","(3,354.05)",625.00,BBB+,S&P
"(Call: 21.10.2019)",,,,,,,,,,,,,,,,
QZ6247188 Woori Bank Co Ltd 4.5% (Call:,,"700,000.00",4.50,27-Sep-2049,4.79 %,USD99.05,"693,375.00","693,654.00",279.00,4.66 %,USD97.38,"681,660.00","(11,994.00)","2,975.00",Ba2,MOODY
27.09.2021),,,,,,,,,,,,,,,,
TOTAL SOUTH KOREA,,"1,200,000.00",,,,,"1,200,125.00","1,198,408.05","(1,716.95)",,,"1,183,060.00","(15,348.05)","3,600.00",,
THAILAND,,,,,,,,,,,,,,,,
EK3299188 PTT Exploration & Production,,"1,000,000.00",4.88,18-Jun-2049,4.10 %,USD101.11,"1,011,050.00","1,008,418.05","(2,631.95)",4.25 %,USD100.68,"1,006,800.00","(1,618.05)","18,010.40",Baa3,MOODY
4.875% (Call: 18.06.2019),,,,,,,,,,,,,,,,
TOTAL THAILAND,,"1,000,000.00",,,,,"1,011,050.00","1,008,418.05","(2,631.95)",,,"1,006,800.00","(1,618.05)","18,010.40",,
UNITED ARAB EMIRATES,,,,,,,,,,,,,,,,
EK3181816 EMG Sukuk Ltd 4.564%,,"500,000.00",4.56,18-Jun-2024,3.84 %,USD104.30,"521,500.00","519,481.62","(2,018.38)",4.33 %,USD101.27,"506,350.00","(13,131.62)","8,430.72",Baa2,MOODY
"(18.06.2024)",,,,,,,,,,,,,,,,
TOTAL UNITED ARAB EMIRATES,,"500,000.00",,,,,"521,500.00","519,481.62","(2,018.38)",,,"506,350.00","(13,131.62)","8,430.72",,
UNITED KINGDOM,,,,,,,,,,,,,,,,
AN8215914 HSBC Holdings PLC 4.7%,,"500,000.00",4.70,08-Jun-2049,4.70 %,SGD100.00,"361,379.50","361,379.50",0.00,4.11 %,SGD102.22,"385,618.56","24,239.06","6,995.03",Baa3,MOODY
"(Call: 08.06.2022)",,,,,,,,,,,,,,,,
TOTAL UNITED KINGDOM,,"500,000.00",,,,,"361,379.50","361,379.50",0.00,,,"385,618.56","24,239.06","6,995.03",,
TOTAL CORPORATE BONDS & NOTES,,"18,700,000.00",,,,,"18,098,000.28","18,075,863.21","(22,137.07)",,,"17,679,505.49","(396,357.72)","219,751.36",,
GRAND TOTAL,,"18,700,000.00",,,,,"18,098,000.28","18,075,863.21","(22,137.07)",,,"17,679,505.49","(396,357.72)","219,751.36",,
04-Apr-2018,LS Finance Ltd 4.25% (16.10.2022),"200,000.00",USD97.0000,"4,013.89","194,000.00",0.00,0.00,"198,013.89","194,000.00",Barclays Capital,N
06-Apr-2018,(EJ3968215),,,,,0.00,0.00,,,,
04-Apr-2018,SmarTone Finance Ltd 3.875% (08.04.2023),"200,000.00",USD99.2300,"3,831.94","198,460.00",0.00,0.00,"202,291.94","198,460.00",Mitsubishi UFJ Trust Int'l,N
06-Apr-2018,(EJ6043818),,,,,0.00,0.00,,,,
04-Apr-2018,DBS Group Holdings Ltd 3.60% (Call:,"200,000.00",USD96.0000,580.00,"192,000.00",0.00,0.00,"192,580.00","192,000.00",United Overseas Bank M'sia Bhd,N
06-Apr-2018,07.09.2021),,,,,0.00,0.00,,,,
"",(QZ3079600),,,,,,,,,,
04-Apr-2018,Woori Bank Co Ltd 4.5% (Call: 27.09.2021),"300,000.00",USD98.1250,337.50,"294,375.00",0.00,0.00,"294,712.50","294,375.00",Std Chartered Bank Malaysia,N
06-Apr-2018,(QZ6247188),,,,,0.00,0.00,,,,
13-Apr-2018,Saka Energi Indonesia PT 4.45% (05.05.2024),"250,000.00",USD98.6250,"5,006.25","246,562.50",0.00,0.00,"251,568.75","246,562.50",BNP Paribas Sec. (S) Pte Ltd,N
17-Apr-2018,(AN2611142),,,,,0.00,0.00,,,,
16-Apr-2018,United Overseas Bank Ltd 3.875% (Call:,"200,000.00",USD95.0000,"3,853.47","190,000.00",0.00,0.00,"193,853.47","190,000.00",HSBC Bank Malaysia Berhad,N
18-Apr-2018,19.10.2023),,,,,0.00,0.00,,,,
"",(AP5359645),,,,,,,,,,
17-Apr-2018,CNRC Capital Ltd 1.871% (07.12.2021),"200,000.00",EUR101.5000,"1,687.70","251,263.66",0.00,0.00,"252,951.36","251,263.66",Nomura Singapore Limited,N
19-Apr-2018,(AL3710640),,,,,0.00,0.00,,,,
17-Apr-2018,Weichai Int HK Energy Grp Co 4.125%,"200,000.00",USD100.7240,435.42,"201,448.00",0.00,0.00,"201,883.42","201,448.00",Citibank Berhad,N
19-Apr-2018,(30.09.2020),,,,,0.00,0.00,,,,
"",(UV8797580),,,,,,,,,,
TOTAL,,,,"19,746.17","1,768,109.16",0.00,0.00,"1,787,855.33","1,768,109.16",,
"",,,,,,0.00,0.00,,,,
"",,,,,,,Comm Other,,,,,,,
Trade Date Broker NameSettlement Date,Security Name (Stock Code),,Cross Units Price,Acrued Interest,,Gross Amount,Fees,Net Amount,Cost,Realised Gain /(Loss),,Realised FX Gain/(Loss),,Trade(Y/N)
"",,,,,,,GST1 GST2,,,,,,,
12-Apr-2018,CIFI Holdings Group Co Ltd,,"200,000.00 USD1.0400","5,640.28",,"208,000.00",0.00 0.00,"213,640.28","208,186.28",(186.28),,0.00,,Std Chartered Bank Malaysia N
16-Apr-2018,7.75% (Call: 05.06.2018),,,,,,0.00 0.00,,,,,,,
"",(EK9396764),,,,,,,,,,,,,
16-Apr-2018,DBS Group Holdings Ltd 3.60%,,"400,000.00 USD0.9750","1,640.00",,"390,000.00",0.00 0.00,"391,640.00","388,699.03","1,300.97",,0.00,,HSBC Corp Ltd N
18-Apr-2018,(Call: 07.09.2021),,,,,,0.00 0.00,,,,,,,
"",(QZ3079600),,,,,,,,,,,,,
17-Apr-2018,HSBC Holdings PLC 6% (Call:,,"200,000.00 EUR1.1650",847.59,,"288,396.22",0.00 0.00,"289,243.80","224,974.24","26,730.48",,"36,691.50",,Citigroup Global Markets Inc N
19-Apr-2018,29.09.2023),,,,,,0.00 0.00,,,,,,,
"",(UV9268987),,,,,,,,,,,,,
TOTAL,,,,"8,127.87",,"886,396.22",0.00 0.00,"894,524.08","821,859.55","27,845.17",,"36,691.50",,
"",,,,,,,0.00 0.00,,,,,,,
Gain/LossTransaction No. Transaction Types,Long / Short,Opening Counterparty Name Date,Settlement Date,,Closeout Date,,Units,Currency,Contract Rate,,(Settlement Currency)
2304183 FX Forward Closing,L,27-Feb-2018,20-Apr-2018,,18-Apr-2018,,"260,000.00",EUR,1.2356,Affin Hwang Investment Bank,0.00
"",S,,,,,,"321,256.00",USD,1.0000,,0.00
2304227 FX Forward Opening,L,18-Apr-2018,01-Jun-2018,,,,"322,140.00",USD,1.0000,Affin Hwang Investment Bank,0.00
"",S,,,,,,"260,000.00",EUR,1.2390,,0.00
2304245 FX Forward Opening,L,18-Apr-2018,01-Jun-2018,,,,"254,302.50",USD,1.0000,Affin Hwang Investment Bank,0.00
"",S,,,,,,"205,000.00",EUR,1.2405,,0.00
2311939 FX Forward Closing,L,14-Mar-2018,02-May-2018,,27-Apr-2018,,"1,730,000.00",SGD,0.7536,Affin Hwang Investment Bank,0.00
"",S,,,,,,"1,303,692.54",USD,1.0000,,"USD16,716.56"
2311947 FX Forward Opening,L,27-Apr-2018,20-Jun-2018,,,,"1,304,577.33",USD,1.0000,Affin Hwang Investment Bank,0.00
"",S,,,,,,"1,730,000.00",SGD,0.7541,,0.00
"",,,,,,,,Interest Received,
Stock Code,Security Name,Coupon,Maturity Date,Payment Date,Currency,FX Rate,Quantity,,
"",,,,,,,,Local Ccy,Base Ccy
EK8169519,Astra Sedaya Finance PT 2.875% (01.04.2018),2.8750%,01-Apr-2018,01-Apr-2018,USD,1.0000,"200,000.00","2,875.00","2,875.00"
QZ6974914,NWD Finance BVI Ltd 5.75% (Call: 05.10.2021),5.7500%,05-Oct-2049,05-Apr-2018,USD,1.0000,"300,000.00","8,625.00","8,625.00"
AN0866912,Tewoo Group Finance No 3 Ltd 5.5% (06.04.2022),5.5000%,06-Apr-2022,06-Apr-2018,USD,1.0000,"200,000.00","5,500.00","5,500.00"
EJ6043818,SmarTone Finance Ltd 3.875% (08.04.2023),3.8750%,08-Apr-2023,08-Apr-2018,USD,1.0000,"600,000.00","11,625.00","11,625.00"
EJ3968215,LS Finance Ltd 4.25% (16.10.2022),4.2500%,16-Oct-2022,16-Apr-2018,USD,1.0000,"200,000.00","4,250.00","4,250.00"
AP5359645,United Overseas Bank Ltd 3.875% (Call: 19.10.2023),3.8750%,19-Oct-2049,19-Apr-2018,USD,1.0000,"600,000.00","11,625.00","11,625.00"
AP5359785,CITIC Envirotech Ltd 3.9% (Call: 19.10.2020),3.9000%,19-Oct-2049,19-Apr-2018,SGD,0.7633,"250,000.00","4,861.63","3,710.76"
EK5237418,Korean Reinsurance Co 4.50% (Call: 21.10.2019),4.5000%,21-Oct-2044,21-Apr-2018,USD,1.0000,"500,000.00","11,250.00","11,250.00"
QJ2237015,QIB Sukuk Ltd 2.754% (27.10.2020),2.7540%,27-Oct-2020,27-Apr-2018,USD,1.0000,"400,000.00","5,508.00","5,508.00"
AP7037652,Press Metal Labuan Ltd 4.8% (Call: 30.10.2020),4.8000%,30-Oct-2022,30-Apr-2018,USD,1.0000,"200,000.00","4,800.00","4,800.00"
TOTAL,,,,,,,,,"69,768.76"
Transaction Trade Date Settlement Date,Broker / Counterparty,Proceed AmountTypes,Stock Code,Security Description,Units,
Receivable,,,,,,
27-Apr-2018 02-May-2018,Affin Hwang Investment Bank,Fx Close,,,"1,303,692.54","16,716.56"
30-Apr-2018 30-Apr-2018,,Interest,AP7037652,Press Metal Labuan Ltd 4.8% (Call: 30.10.2020),"200,000.00","4,800.00"
TOTAL RECEIVABLE,,,,,,"21,516.56"
Date,Description,Quantity,Security,Debit,Credit,Balance
01-Apr-2018,Balance B/F,,,0.00,0.00,"11,265.03"
03-Apr-2018,Bank Chgs Refund Oct17 to Dec17,,,0.00,85.97,"11,351.00"
"",,,,,Closing Balance (AUD) :,"11,351.00"
"",,,,,Base Curency (USD) :,"8,560.43"
"",,,,,Fx Rate :,0.754156
Date,Description,Quantity,Security,Debit,Credit,Balance
01-Apr-2018,Balance B/F,,,0.00,0.00,"11,467.67"
18-Apr-2018,FX DELIVERY - Long EUR - short USD - s/d = 04/18/18,"205,000.00",,0.00,"205,000.00","216,467.67"
19-Apr-2018,Purchase-CNRC Capital Ltd,"200,000.00",AL3710640,"204,363.52",0.00,"12,104.15"
19-Apr-2018,Sale-HSBC Holdings PLC,"200,000.00",UV9268987,0.00,"233,684.78","245,788.93"
"",,,,,Closing Balance (EUR) :,"245,788.93"
"",,,,,Base Curency (USD) :,"297,227.88"
"",,,,,Fx Rate :,1.209281
Date,Description,Quantity,Security,Debit,Credit,Balance
01-Apr-2018,Balance B/F,,,0.00,0.00,"65,430.24"
02-Apr-2018,credit Int_Mar 2018,,,0.00,5.64,"65,435.88"
02-Apr-2018,FX DELIVERY - Long SGD - short USD - s/d = 04/02/18,"960,000.00",,0.00,"960,000.00","1,025,435.88"
06-Apr-2018,Purchase-DBS Capital Funding II Corp,"1,000,000.00",EH3700794,"1,023,828.77",0.00,"1,607.11"
19-Apr-2018,Income-CITIC Envirotech Ltd,,AP5359785,0.00,"4,861.64","6,468.75"
25-Apr-2018,Bk Chgs Oct 17 to Dec 17,,,396.00,0.00,"6,072.75"
25-Apr-2018,OPP Fee-Dec 2017,,,0.00,89.29,"6,162.04"
"",,,,,Closing Balance (SGD) :,"6,162.04"
"",,,,,Base Curency (USD) :,"4,649.18"
"",,,,,Fx Rate :,0.754488
Date,Description,Quantity,Security,Debit,Credit,Balance
01-Apr-2018,Balance B/F,,,0.00,0.00,"1,525,298.22"
02-Apr-2018,Bk Chgs Refund Oct 17 to Dec 17,,,0.00,945.20,"1,526,243.42"
02-Apr-2018,Bank Charges for MTM Loss,,,50.00,0.00,"1,526,193.42"
02-Apr-2018,FX DELIVERY - Long SGD - short USD - s/d = 04/02/18,"960,000.00",,"732,265.45",0.00,"793,927.97"
02-Apr-2018,Purchase-Baidu Inc,"200,000.00",AR8101248,"199,804.00",0.00,"594,123.97"
02-Apr-2018,Sale-Baidu Inc,"200,000.00",AR8101248,0.00,"200,200.00","794,323.97"
02-Apr-2018,Purchase-Baidu Inc,"500,000.00",AR8689556,"497,160.00",0.00,"297,163.97"
02-Apr-2018,Sale-Baidu Inc,"500,000.00",AR8689556,0.00,"497,515.00","794,678.97"
02-Apr-2018,Sale-United States Treasury N/B,"500,000.00",9128283W8,0.00,"500,267.18","1,294,946.15"
03-Apr-2018,Income-Astra Sedaya Finance PT,,EK8169519,0.00,"2,875.00","1,297,821.15"
03-Apr-2018,Maturity-Astra Sedaya Finance PT,"200,000.00",EK8169519,0.00,"200,000.00","1,497,821.15"
05-Apr-2018,3rd Party BC MTM loss_Duxtpdsa,,,31.00,0.00,"1,497,790.15"
06-Apr-2018,Purchase-DBS Group Holdings Ltd,"200,000.00",QZ3079600,"192,580.00",0.00,"1,305,210.15"
06-Apr-2018,Purchase-Woori Bank Co Ltd,"300,000.00",QZ6247188,"294,712.50",0.00,"1,010,497.65"
06-Apr-2018,Purchase-SmarTone Finance Ltd,"200,000.00",EJ6043818,"202,291.94",0.00,"808,205.71"
06-Apr-2018,Income-Tewoo Group Finance No 3 Ltd,,AN0866912,0.00,"5,500.00","813,705.71"
06-Apr-2018,Purchase-LS Finance Ltd,"200,000.00",EJ3968215,"198,013.89",0.00,"615,691.82"
09-Apr-2018,Income-NWD Finance BVI Ltd,,QZ6974914,0.00,"8,625.00","624,316.82"
10-Apr-2018,Income-SmarTone Finance Ltd,,EJ6043818,0.00,"11,625.00","635,941.82"
16-Apr-2018,Sale-CIFI Holdings Group Co Ltd,"200,000.00",EK9396764,0.00,"213,640.28","849,582.10"
17-Apr-2018,Management Fee Pymt 1Q 2018,,,"24,737.58",0.00,"824,844.52"
17-Apr-2018,Bank Chgs for Mgmt Fee Pymt 1Q 2018,,,10.00,0.00,"824,834.52"
17-Apr-2018,Purchase-Saka Energi Indonesia PT,"250,000.00",AN2611142,"251,568.75",0.00,"573,265.77"
17-Apr-2018,Income-LS Finance Ltd,,EJ3968215,0.00,"4,250.00","577,515.77"
18-Apr-2018,Bank Charges for FX spot,,,70.00,0.00,"577,445.77"
18-Apr-2018,FX DELIVERY - Long EUR - short USD - s/d = 04/18/18,"205,000.00",,"253,687.50",0.00,"323,758.27"
18-Apr-2018,Sale-DBS Group Holdings Ltd,"400,000.00",QZ3079600,0.00,"391,640.00","715,398.27"
18-Apr-2018,Purchase-United Overseas Bank Ltd,"200,000.00",AP5359645,"193,853.47",0.00,"521,544.80"
19-Apr-2018,Purchase-Weichai Int HK Energy Grp Co,"200,000.00",UV8797580,"201,883.42",0.00,"319,661.38"
19-Apr-2018,Income-United Overseas Bank Ltd,,AP5359645,0.00,"11,625.00","331,286.38"
Date,Description,Quantity,Security,Debit,Credit,Balance
23-Apr-2018,Income-Korean Reinsurance Co,,EK5237418,0.00,"11,250.00","342,536.38"
25-Apr-2018,audit confirmation chgs_2017,,,15.00,0.00,"342,521.38"
30-Apr-2018,Income-QIB Sukuk Ltd,,QJ2237015,0.00,"5,508.00","348,029.38"
"",,,,,Closing Balance (USD) :,"348,029.38"
"",,,,,Base Curency (USD) :,"348,029.38"
"",,,,,Fx Rate :,1.000000
Stock Code Description,,Units,Prior,Income,Ending,Total,Accretion of,Amortization of,Net Accretion / Unrealised
"",,,Accrued,Received,Accrued,Interest,Discount,Premium,Amortization  Gain / Loss
FIXED INCOME,,,,,,,,,
EK8169519 Astra Sedaya Finance PT 2.875% (01.04.2018),,0.00,"2,875.00","2,875.00",0.00,0.00,0.00,0.00,0.00 100.00
JV2490110 Bluestar Finance Holdings Ltd 4.375% (Call:,,"600,000.00","7,583.34",0.00,"9,770.83","2,187.49",0.00,489.88,(489.88) (410.12)
17.12.2018),,,,,,,,,
AO3442545 Chong Hing Bank Ltd 3.876% (Call: 26.07.2022),,"400,000.00","2,799.33",0.00,"4,091.33","1,292.00",0.00,0.00,"0.00 (4,440.00)"
EK9396764 CIFI Holdings Group Co Ltd 7.75% (Call: 05.06.2018),,0.00,"4,994.44","5,640.28",0.00,645.84,0.00,138.74,(138.74) (514.98)
AO0070349 Ciputra Development Tbk PT 4.85% (20.09.2021),,"750,000.00",908.33,0.00,"3,179.17","2,270.84",0.00,0.00,"0.00 (6,053.87)"
AP5359785 CITIC Envirotech Ltd 3.9% (Call: 19.10.2020),,"250,000.00","3,230.92","3,585.54",244.67,599.29,1.67,0.00,1.67 (111.78)
AN5475594 CK Hutchison Capital Sec17 Ltd 4% (Call: 12.05.2022),,"250,000.00","3,861.11",0.00,"4,694.44",833.33,0.00,0.00,"0.00 (1,425.00)"
AL3710640 CNRC Capital Ltd 1.871% (07.12.2021),,"200,000.00",0.00,"(1,687.70)","1,839.98",152.28,0.00,33.05,(33.05) 104.85
AL2762741 Dah Sing Bank Ltd 4.25% (Call: 30.11.2021),,"400,000.00","5,713.88",0.00,"7,130.56","1,416.68",0.00,203.81,"(203.81) (2,956.19)"
EH3700794 DBS Capital Funding II Corp 5.75% (Call: 15.06.2018),,"1,000,000.00","13,204.54",0.00,"16,552.35","3,347.81",0.00,"1,887.64","(1,887.64) 813.64"
QZ3079600 DBS Group Holdings Ltd 3.60% (Call: 07.09.2021),,0.00,480.00,"1,060.00",0.00,580.00,111.45,0.00,"111.45 3,447.58"
EK3181816 EMG Sukuk Ltd 4.564% (18.06.2024),,"500,000.00","6,529.06",0.00,"8,430.72","1,901.66",0.00,229.38,"(229.38) (6,220.62)"
AO2963293 Enn Energy Holdings Ltd 3.25% (24.07.2022),,"500,000.00","3,024.31",0.00,"4,378.47","1,354.16",9.46,0.00,"9.46 (5,359.46)"
AN8403643 Far East Horizon Ltd 4.35% (Call: 14.06.2022),,"400,000.00","5,171.67",0.00,"6,621.67","1,450.00",0.00,0.00,0.00 (920.00)
AQ7825500 GLL IHT Pte Ltd 4.6% (Call: 23.01.2023),,"250,000.00","1,641.57",0.00,"2,365.80",724.23,6.41,0.00,6.41 (627.52)
AN8215914 HSBC Holdings PLC 4.7% (Call: 08.06.2022),,"500,000.00","5,420.48",0.00,"6,846.92","1,426.44",0.00,0.00,"0.00 4,366.21"
UV9268987 HSBC Holdings PLC 6% (Call: 29.09.2023),,0.00,120.34,842.36,0.00,722.02,0.00,101.96,"(101.96) (22,502.76)"
EK5237418 Korean Reinsurance Co 4.50% (Call: 21.10.2019),,"500,000.00","10,000.00","11,250.00",625.00,"1,875.00",0.00,256.56,(256.56) 256.56
AO2618715 Longfor Properties Co Ltd 3.875% (13.07.2022),,"200,000.00","1,679.17",0.00,"2,325.00",645.83,4.28,0.00,"4.28 (2,944.28)"
EJ3968215 LS Finance Ltd 4.25% (16.10.2022),,"200,000.00",0.00,236.11,354.17,590.28,80.99,0.00,"80.99 (2,480.99)"
EK9908196 LS Finance Ltd 4.5% (26.06.2025),,"700,000.00","8,312.50",0.00,"10,937.50","2,625.00",95.80,0.00,"95.80 (11,855.80)"
AO6253790 Minejesa Capital BV 4.625% (10.08.2030),,"200,000.00","1,310.42",0.00,"2,081.25",770.83,0.00,0.00,"0.00 (3,440.00)"
EK0359175 Moon Wise Global Ltd 9.00% (Call: 28.01.2019),,"400,000.00","6,300.00",0.00,"9,300.00","3,000.00",0.00,"1,403.36","(1,403.36) (596.64)"
AN7077414 Nanyang Commercial Bank Ltd 5% (Call: 02.06.2022),,"200,000.00","3,305.56",0.00,"4,138.89",833.33,11.19,0.00,11.19 (131.19)
QZ6974914 NWD Finance BVI Ltd 5.75% (Call: 05.10.2021),,"300,000.00","8,433.33","8,625.00","1,245.83","1,437.50",0.00,12.37,"(12.37) (10,307.63)"
AM4374824 Pakuwon Prima Pte Ltd 5% (Call: 14.02.2021),,"200,000.00","1,305.56",0.00,"2,138.89",833.33,171.50,0.00,"171.50 (4,291.50)"
